STOP_ID;LINEA
1000086;151
1000086;168
1005465;105
1002096;15
1002096;29
1006607;110
1006607;71
1004767;90
1003500;112
1001215;23
1001215;6
1003957;24
1004561;109
1001497;160
1003521;56
1006066;63
1006230;180
1005900;21
20427;168
20427;184
20427;60
1003384;76
1007280;114
1003444;151
1001936;160
1001936;37
1001927;33
1001927;45
2509;34
14567;110
14567;169
1004215;28
3264;110
1000897;108
1000897;111
1000505;60
1000505;95
1000097;151
1000097;168
1000656;55
3785;123
14263;100
14263;61
14263;70
7491;161
7491;21
7491;28
1000080;168
1004017;110
1004017;57
1001925;140
1000460;140
4959;109
1001588;45
1001588;9
5083;127
5618;124
5618;65
5618;71
5618;92
5618;99
1004061;84
1005131;134
1001010;22
1001010;7
1001010;91
1001014;126
1001014;50
1001019;111
1001019;146
1001019;56
1001021;29
1001021;64
1002539;146
6356;60
1002592;104
1001818;60
1001657;56
1001658;151
1001658;90
1001120;95
6981;88
1004484;124
1004468;109
1004468;124
1004468;47
1004070;47
1001312;103
1001312;2
1001294;84
1001294;98
1001485;103
1000064;111
1000064;20
1002034;60
1003320;36
1003320;84
1004305;25
1004305;42
8586;102
1002257;134
1002257;172
1002257;99
1003254;49
1004554;109
1004554;47
8903;102
8903;151
8903;168
1002222;1
1001538;128
1001538;160
1001538;165
1006362;88
1006302;96
10063;45
1005398;5
1006075;113
1006325;182
10617;46
1004671;133
1003556;132
14345;180
14345;4
14345;53
14345;55
14345;8
14345;96
11816;101
11816;143
1005175;150
1005175;91
1007035;76
1005774;4
1006795;46
1005839;150
20353;115
20353;91
1006588;104
1006588;55
1005886;177
1005886;75
1006531;44
1006083;6
20348;115
20348;76
20348;91
395;80
13347;56
13347;91
1006454;126
13454;117
13547;5
1006837;185
13901;143
13901;80
1007273;36
14180;21
20447;152
20447;59
20436;152
20436;161
20436;19
20436;59
20436;71
1002714;29
1002713;15
1002713;29
1002343;130
1003353;151
1003353;71
664;60
1006657;117
1006975;160
20213;160
20213;33
20213;37
20213;45
20145;28
1003614;21
1003614;28
1006653;117
1003358;71
15901;28
1006973;28
20144;107
1003360;151
20421;133
20421;57
20421;59
20421;60
20421;68
1006968;33
1006968;45
1006967;160
1006967;37
14397;160
14397;28
14397;37
1006991;33
1006991;45
1007293;29
1043;130
1043;29
1003390;130
1003390;71
1006993;160
1089;29
1007299;130
1007299;29
1003385;76
1142;28
1002089;107
14463;21
14463;28
1002078;107
1002078;130
1002078;42
1001952;33
1001952;45
1006601;29
1002083;42
1004208;28
1474;19
1480;130
1002626;175
1007303;107
1003342;67
1003342;76
1517;67
1006626;41
1006626;93
1002737;64
1002746;60
1607;19
1002734;15
1002734;29
1002734;42
1002751;118
1649;114
1003245;169
1003245;175
1003245;41
20761;194
20761;57
1003367;19
1778;15
1778;29
1002013;42
1002013;64
1903;112
1003207;113
1002008;64
1001888;160
1001888;34
1947;110
1003237;169
1003237;41
1001989;118
15956;21
15956;28
1002002;64
2033;19
2033;76
1002768;168
1002768;184
1002447;19
1005214;169
1005214;175
1005214;71
1004780;114
1004780;133
1001982;118
1001982;60
1006894;33
1006894;45
1007259;21
1007259;28
1001758;168
1001355;10
1001331;10
1001331;130
1001328;160
1001976;60
1001978;29
1001978;59
1001978;64
471;151
471;184
1003220;140
1003220;169
1006893;33
1006893;45
1001974;118
1002298;59
1002298;60
1001903;130
1003206;111
1003206;140
1002418;113
1002418;76
1004641;113
1005134;176
1005134;90
1001970;118
1001970;55
1001970;64
2488;140
2488;169
1001786;151
1001786;168
2555;90
1005095;175
2591;107
2591;127
1001755;168
2625;168
2629;184
1001761;151
1001761;168
1001664;130
1002414;44
1002414;65
1004637;112
1004637;113
1004637;140
1002359;42
1002359;63
1002429;80
1004619;111
2750;19
1005042;127
1005042;71
1000711;15
1000711;55
1004727;110
1004727;175
1004725;110
1004725;175
1001787;112
1001787;140
1001787;19
14621;33
14621;45
1003214;110
1003214;169
1000701;67
1000701;95
1003509;112
1003509;140
1003509;90
1003509;93
1002367;168
1000907;128
1000907;188
20783;111
20783;12
20783;15
20783;29
20783;95
1005025;110
1006901;143
20781;60
20781;93
1002390;140
15963;21
15963;28
1001781;112
1001781;140
1001781;176
1001781;19
1001781;44
1001781;65
1001781;90
1001781;93
1003627;140
1003627;176
1003627;90
1003628;112
1003629;112
1003629;93
1000681;55
1000155;39
1003486;127
1003486;71
1003485;108
1003485;176
1001334;102
1001334;130
1001334;67
1000953;41
1000953;59
1000949;128
1000949;60
1000896;108
1000896;111
1000651;111
1000651;29
1000930;188
1000930;60
1000930;95
3259;59
1004750;90
3335;130
3335;67
3335;92
3335;93
3340;55
1000922;37
1000922;95
1000905;110
1000905;160
1000826;12
1000826;15
1000826;36
3469;108
1000098;108
1000512;60
1000512;95
3498;102
1004741;110
1004737;110
1004737;87
1000095;39
3565;123
1000835;12
1000786;160
1000786;57
3665;108
1001005;62
1001005;92
1001005;93
1003456;123
1003456;87
1007015;106
1007015;132
1007015;20
1004718;107
1004718;114
1004718;87
1004106;63
1000691;67
1000691;92
1004186;111
1004186;123
1000314;34
1000314;39
1000780;124
1000780;67
1000638;110
1003480;123
1003480;80
1003481;123
1003481;80
1003481;87
68;113
1003780;93
1003805;108
1000603;110
1000603;57
1004739;110
1004739;87
1006907;26
1004153;123
4008;110
1003833;108
4014;166
1000601;110
1000601;141
1000601;15
1004670;108
1004670;123
1000476;111
1000476;29
1006930;150
1006930;23
1000770;124
1000770;17
1006943;5
1006943;56
4121;57
14678;123
14678;176
4252;57
1000776;102
1006918;6
1000527;10
1000527;59
1000531;124
4336;194
4361;71
4361;76
1000085;140
4413;41
1000132;111
1000132;39
1000264;36
1004571;101
1005537;107
1005537;114
1001726;100
1001726;75
1000393;102
4483;194
1000130;12
1000597;141
1000597;15
1000169;12
1000169;39
1000741;109
4538;176
20472;132
20472;22
20472;26
20472;28
20472;6
20472;7
20472;91
20472;93
1003854;112
1003854;47
4570;194
1004021;106
1004021;57
1001859;60
1003462;80
1001783;140
1005508;107
1005508;114
4719;106
4719;150
4719;39
4718;127
4771;45
20311;100
20311;67
20311;70
1004019;110
1004019;57
4742;126
4742;129
4742;20
4742;33
4850;44
1000134;106
1000134;109
1000134;151
1000198;106
1000199;140
1000196;140
1000197;106
1003965;55
1003637;65
1003637;76
4858;108
20667;105
20667;146
20667;57
20667;78
1000193;111
1000961;132
1002589;109
1002589;36
1000477;140
1000473;188
1000473;29
1005381;146
1005381;80
1001494;5
1001579;26
1001496;9
1001580;45
1001499;109
1001581;140
1001528;132
1005452;105
1005452;108
1001713;102
1001713;26
5170;105
5170;113
5170;133
5170;146
5170;47
5170;57
5170;78
1005416;146
1005416;80
1001685;5
1001685;75
1005429;105
1005429;107
1005429;108
1002344;12
1001433;33
1001434;152
1001434;61
1001434;7
1005472;114
20675;24
20307;10
20307;45
20307;70
1005455;105
1005455;108
1002587;109
