STOP_ID;X;Y;TIPO;CALLE;NUMERO;ENTRE1;ENTRE2
1000086;-58.4327908137487;-34.5923809470;PARADAS CON REFUGIO;CORDOBA AV.;4859;ARMENIA;GURRUCHAGA
1005465;-58.5140298647844;-34.6016371880;PARADA NO OFICIAL;NUEVA YORK;4224;;GUALEGUAYCHU
1002096;-58.4497660921390;-34.5544664433;PARADAS CON REFUGIO;DEL LIBERTADOR AV.;6250;BLANCO ENCALADA;OLAZABAL
1006607;-58.4941044948861;-34.5623407465;PARADAS CON REFUGIO;LARRALDE, CRISOLOGO AV.;5187;;
1004767;-58.4844741311517;-34.5757583663;PARADAS DE POSTE;OLAZABAL AV.;4920;;TRIUNVIRATO AV.
1003500;-58.4704901742478;-34.5782878869;PARADAS DE POSTE;ALVAREZ THOMAS AV.;2091;;
1001215;-58.3807347395108;-34.6013117395;PARADAS DE POSTE;TUCUMAN;987;SUIPACHA;PELLEGRINI, CARLOS
1003957;-58.4504349445881;-34.6062415444;PARADA NO OFICIAL;VIALE, LUIS;759;;
1004561;-58.5245069558601;-34.6228713798;PARADAS CON REFUGIO;NAZARRE;5895;NAZARRE;
1001497;-58.4178717614859;-34.6326129854;PARADAS CON REFUGIO;CASTRO BARROS;1681;GARAY, JUAN DE AV.;INCLAN
1003521;-58.4449015160242;-34.6330113688;PARADAS CON REFUGIO;PERON, EVA AV.;1448;;
1006066;-58.4907747849381;-34.6358623945;PARADA NO OFICIAL;RIVADAVIA AV.;8981;;
1006230;-58.5043859446249;-34.6589928369;PARADAS DE POSTE;DE LA TORRE, LISANDRO AV.;2106;;
1005900;-58.4770641269793;-34.5388418869;PARADA NO OFICIAL;ZUFRIATEGUI, JUAN;1586;CABILDO AV.;VIDAL
20427;-58.4728621391468;-34.5426755288;;;;;
1003384;-58.4866538910555;-34.5528946622;PARADA NO OFICIAL;TRONADOR;4120;BESARES;VILELA
1007280;-58.4560925296907;-34.5577136201;PARADAS DE POSTE;ARCOS;2387;;
1003444;-58.4673817311798;-34.5577516629;PARADA NO OFICIAL;CRAMER;2916;QUESADA;CONGRESO AV.
1001936;-58.4097945099698;-34.5587711917;PARADAS CON REFUGIO;OBLIGADO RAFAEL, AV.COSTANERA;3460;SARMIENTO AV.;LA PAMPA
1001927;-58.4050427929724;-34.5639904370;PARADAS CON REFUGIO;OBLIGADO RAFAEL, AV.COSTANERA;2281;LA PAMPA;SARMIENTO AV.
2509;-58.4205481332696;-34.5723640249;;;;;
14567;-58.5054004015202;-34.5749378875;;;;;
1004215;-58.5121805987815;-34.5768761714;PARADAS CON REFUGIO;PAZ, GRAL. AV. COLECTORA;5314;SOTO, ANTONIO;EZEIZA
3264;-58.5065352971559;-34.5814799419;;;;;
1003636;-58.4687702795580;-34.5827479977;PARADA NO OFICIAL;FRAGA;1826;;
1000897;-58.4352827209205;-34.5831845293;PARADA NO OFICIAL;FITZ ROY;1808;COSTA RICA;EL SALVADOR
1000505;-58.4025571260730;-34.5835506153;PARADAS CON REFUGIO;LAS HERAS GENERAL AV.;2914;BILLINGHURST;SANCHEZ DE BUSTAMANTE
1000097;-58.4443375988491;-34.5847204265;PARADAS CON REFUGIO;CORDOBA AV.;5981;RAVIGNANI, EMILIO, DR.;AREVALO
1000656;-58.4268268249151;-34.5851392464;PARADAS DE POSTE;THAMES;2038;GUATEMALA;SOLER
3785;-58.4692868843489;-34.5870552581;;;;;
14263;-58.3794497097895;-34.5900748392;;;;;
7491;-58.5217842226174;-34.5959425325;;;;;
1000080;-58.4266299826744;-34.5962481715;PARADA NO OFICIAL;CORDOBA AV.;4267;PRINGLES;ESTADO DE PALESTINA
1004017;-58.4335322927437;-34.5966341197;PARADAS DE POSTE;SCALABRINI ORTIZ, RAUL AV.;779;;
1001925;-58.4214619747215;-34.5976534822;PARADAS CON REFUGIO;CORDOBA AV.;3885;;
1000460;-58.4109977651101;-34.5979694151;PARADAS CON REFUGIO;CORDOBA AV.;3137;AGUERO;GALLO
4959;-58.4081479690345;-34.5980689599;;;;;
1001588;-58.3773829629475;-34.5987629375;PARADAS DE POSTE;CORDOBA AV.;731;MAIPU;ESMERALDA
5083;-58.4359304737564;-34.5991957958;;;;;
5618;-58.4377397274842;-34.6030428753;;;;;
1004061;-58.4884694593218;-34.6033046238;PARADAS DE POSTE;NAZCA AV.;2826;SASTRE, MARCOS;SASTRE, MARCOS
1005131;-58.5090446665612;-34.6066795055;PARADA NO OFICIAL;GUALEGUAYCHU;3108;VARELA;SIMBRON
1001010;-58.3714711103954;-34.6077780559;PARADAS CON REFUGIO;RIVADAVIA AV.;363;BALCARCE;RECONQUISTA
1001014;-58.3714711103954;-34.6077780559;PARADAS CON REFUGIO;RIVADAVIA AV.;363;;RECONQUISTA
1001019;-58.3714711103954;-34.6077780559;PARADAS CON REFUGIO;RIVADAVIA AV.;363;25 DE MAYO;RECONQUISTA
1001021;-58.3714711103954;-34.6077780559;PARADAS DE POSTE;RIVADAVIA AV.;371;25 DE MAYO;RECONQUISTA
1002539;-58.4190571140479;-34.6086209666;PARADA NO OFICIAL;DIAZ VELEZ AV.;3722;;
6356;-58.3848659470909;-34.6086882077;;;;;
1002592;-58.4176112553352;-34.6096097102;PARADAS DE POSTE;MITRE, BARTOLOME;3610;;
1001818;-58.3892670907610;-34.6101424975;PARADAS DE POSTE;YRIGOYEN, HIPOLITO AV.;1628;SOLIS;CEVALLOS, VIRREY
1001657;-58.3909268883046;-34.6103029415;PARADAS DE POSTE;YRIGOYEN, HIPOLITO AV.;1750;ENTRE RIOS AV.;SOLIS
1001658;-58.3909268883046;-34.6103029415;PARADAS DE POSTE;YRIGOYEN, HIPOLITO AV.;1752;ENTRE RIOS AV.;SOLIS
1001120;-58.3974338746615;-34.6120042563;PARADAS DE POSTE;PASCO;212;MORENO;ALSINA, ADOLFO
6981;-58.4147840371517;-34.6130532206;;;;;
1004484;-58.5297710906260;-34.6142024940;PARADAS CON REFUGIO;PAZ, GRAL. AV. COLECTORA;;MORAN PEDRO;MOLIERE
1004468;-58.5093922677795;-34.6145035261;PARADA NO OFICIAL;BAIGORRIA;4689;;JUAREZ, BENITO
1004070;-58.4867898044180;-34.6157108883;PARADAS DE POSTE;CAMARONES;3406;CERVANTES;LLAVALLOL
1001312;-58.4186874784166;-34.6158736285;PARADAS CON REFUGIO;BELGRANO AV.;3710;CASTRO BARROS AV.;COLOMBRES
1001294;-58.4056112327830;-34.6160066619;PARADAS DE POSTE;REPUBLICA BOLIVARIANA DE VENEZUELA;2795;;JUJUY AV.
1001485;-58.4273193161481;-34.6167836313;PARADAS DE POSTE;MUÑIZ;274;QUITO;BELGRANO
1000064;-58.3657655787324;-34.6169982798;PARADAS CON REFUGIO;MOREAU DE JUSTO, ALICIA AV.;1600;EYLE, PETRONA;EZCURRA, ENCARNACION
1002034;-58.3873995269050;-34.6182118416;PARADAS DE POSTE;SAENZ PEÑA, LUIS, PRES.;822;;
1003320;-58.4379579674253;-34.6185196191;PARADAS DE POSTE;HIDALGO;24;YERBAL;RIVADAVIA AV.
1004305;-58.4347872948995;-34.6228118162;PARADA NO OFICIAL;MORENO, JOSE MARIA AV.;395;ALBERDI, JUAN BAUTISTA AV.;FORMOSA
8586;-58.3857997400015;-34.6239327189;;;;;
1002257;-58.4665968117622;-34.6249044630;PARADAS DE POSTE;AVELLANEDA AV.;2534;;
1003254;-58.4535280127176;-34.6255255875;PARADAS DE POSTE;RIVADAVIA AV.;6178;MORELOS;ALVAREZ, DONATO, TTE. GRAL. AV.
1004554;-58.5270608608697;-34.6256777121;PARADA NO OFICIAL;NOGOYA;6112;;
8903;-58.3857512985541;-34.6261116355;;;;;
1002222;-58.4584408708332;-34.6274650038;PARADAS DE POSTE;RIVADAVIA AV.;6560;;
1001538;-58.4159940187855;-34.6284369802;PARADAS DE POSTE;BOEDO AV.;1261;CONSTITUCION;TARIJA
1006362;-58.4762247003087;-34.6323255288;PARADA NO OFICIAL;RIVADAVIA AV.;7945;;
1006302;-58.4790842897150;-34.6332594849;PARADAS DE POSTE;RIVADAVIA AV.;8210;;
10063;-58.3825039849166;-34.6341048785;;;;;
1005398;-58.4873256421998;-34.6354047924;PARADA NO OFICIAL;LACARRA;10;;
1006075;-58.4918071696798;-34.6361140638;PARADA NO OFICIAL;RIVADAVIA AV.;9085;;
1006325;-58.4969444651956;-34.6371922965;PARADA NO OFICIAL;RIVADAVIA AV.;9418;;
10617;-58.4878763157336;-34.6381058164;;;;;
1004671;-58.4498182498679;-34.6387356465;PARADAS DE POSTE;CARABOBO AV.;1189;;
1003556;-58.4556042356180;-34.6403565527;PARADAS DE POSTE;PERON, EVA AV.;2483;;
14345;-58.4853336864897;-34.6459538223;;;;;
11816;-58.4263678084525;-34.6460578303;;;;;
1005175;-58.4060708288233;-34.6468369552;PARADAS DE POSTE;GRITO DE ASENCIO;3168;;
1007035;-58.4493063448847;-34.6471793275;PARADAS CON REFUGIO;VARELA AV.;1791;SARAZA;CASTAÑARES AV.
1005774;-58.5270044924317;-34.6499217122;PARADA NO OFICIAL;SUAREZ, JOSE LEON;993;;
1006795;-58.4250743174727;-34.6501004698;PARADAS DE POSTE;MORENO, PERITO AV.;1281;VEDIA, AGUSTIN DE;
1005839;-58.4079939901148;-34.6501958177;PARADA NO OFICIAL;PEPIRI;1093;;
20353;-58.4163666602150;-34.6516789352;;;;;
1006588;-58.4938825773207;-34.6531544092;PARADAS DE POSTE;DIRECTORIO AV.;5349;;
1005886;-58.4165902783664;-34.6537058865;PARADA NO OFICIAL;SAENZ AV.;1151;;
1006531;-58.4174656857924;-34.6547765908;PARADA NO OFICIAL;RABANAL, FRANCISCO, INTENDENTE AV.;1317;;
1006083;-58.4352328693916;-34.6584668019;PARADA NO OFICIAL;VARELA AV.;3112;;
20348;-58.4330134430965;-34.6614990532;;;;;
395;-58.5003311880766;-34.6624265935;;;;;
13347;-58.4725153392206;-34.6627727756;;;;;
1006454;-58.5003849002161;-34.6629251150;PARADAS DE POSTE;DE LOS CORRALES AV.;6532;;
13454;-58.4840423761503;-34.6652117227;;;;;
13547;-58.4794843812383;-34.6674716524;;;;;
1006837;-58.4910715879551;-34.6797823506;PARADAS DE POSTE;BARCA CABO DE HORNOS;6710;;
13901;-58.4793587551397;-34.6807380731;;;;;
1007273;-58.4793259792762;-34.6921603826;PARADA NO OFICIAL;PAZ, GRAL. AV. COLECTORA;;SOLDADO JUAN RAVA;ROOSEVELT
14180;-58.4755277044701;-34.6936961013;;;;;
20447;-58.4838928673360;-34.5234562023;;;;;
20438;-58.4791899696606;-34.5321301164;;;;;
20436;-58.4783707266325;-34.5340206135;;;;;
